Informazioni cronologiche,Age,Biological sex,University of affiliation,Do you think this image was generated by AI or is it real?,Did you have doubts about the veracity of the image?,"An algorithm suggests to you that, at 77%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.1,Did you have doubts about the veracity of the image?.1,"An algorithm suggests to you that, at 81%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.2,Did you have doubts about the veracity of the image?.2,"An algorithm suggests to you that, at 24%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.3,Did you have doubts about the veracity of the image?.3,"An algorithm suggests to you that, at 84%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.4,Did you have doubts about the veracity of the image?.4,"An algorithm suggests to you that, at 20%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.5,Did you have doubts about the veracity of the image?.5,"An algorithm suggests to you that, at 66%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.6,Did you have doubts about the veracity of the image?.6,"An algorithm suggests to you that, at 90%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.7,Did you have doubts about the veracity of the image?.7,"An algorithm suggests to you that, at 62%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.8,Did you have doubts about the veracity of the image?.8,"An algorithm suggests to you that, at 20%, the previous image was generated by AI. Do you confirm your choice?.1",Do you think this image was generated by AI or is it real?.9,Did you have doubts about the veracity of the image?.9,"An algorithm suggests to you that, at 85%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.10,Did you have doubts about the veracity of the image?.10,"An algorithm suggests to you that, at 43%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.11,Did you have doubts about the veracity of the image?.11,"An algorithm suggests to you that, at 52%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.12,Did you have doubts about the veracity of the image?.12,"An algorithm suggests to you that, at 98%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.13,Did you have doubts about the veracity of the image?.13,"An algorithm suggests to you that, at 42%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.14,Did you have doubts about the veracity of the image?.14,"An algorithm suggests to you that, at 15%, the previous image was generated by AI. Do you confirm your choice?"
2024/05/23 1:01:30 PM EEST,23 o più,Male,Poznań University of Technology,Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm"
2024/05/23 1:04:42 PM EEST,23 o più,Male,PUT,Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm"
2024/05/23 1:06:28 PM EEST,23 o più,Male,Poznań University of Technology ,Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm"
2024/05/23 1:07:51 PM EEST,23 o più,Female,Poznań University of Technology,Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm"
2024/05/23 1:10:06 PM EEST,23 o più,Male,PUT,Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"No, I change my choice",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"No, I change my choice",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm"
2024/10/03 4:25:27 PM EEST,22,Female,Catania,Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,Yes,"No, I change my choice",Real,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",Real,Yes,"No, I change my choice",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm"
2024/10/03 4:28:14 PM EEST,23 o più,Male,Catania ,Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,Yes,"No, I change my choice",AI generated,No,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,Yes,"No, I change my choice",Real,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,Yes,"No, I change my choice",AI generated,Yes,"No, I change my choice",AI generated,No,"No, I change my choice"
2024/10/03 4:28:17 PM EEST,23 o più,Male,Università degli studi di Catania,Real,No,"Yes, I confirm",Real,Yes,"No, I change my choice",AI generated,Yes,"No, I change my choice",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,No,"No, I change my choice",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm"
2024/10/03 4:29:00 PM EEST,23 o più,Male,University of Catania,Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"No, I change my choice",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,Yes,"No, I change my choice",AI generated,No,"Yes, I confirm",AI generated,Yes,"No, I change my choice"
2024/10/03 4:29:24 PM EEST,22,Male,orazioragazzo@gmail.com,Real,Yes,"No, I change my choice",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"No, I change my choice",Real,Yes,"No, I change my choice",Real,No,"Yes, I confirm",Real,No,"No, I change my choice",Real,Yes,"No, I change my choice",Real,Yes,"No, I change my choice",Real,Yes,"Yes, I confirm",Real,Yes,"No, I change my choice",Real,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"No, I change my choice",AI generated,Yes,"No, I change my choice"
