name-file,prob-classe0,prob-classe1
1 V6M.jpeg,0.8779551,0.12204486
10 V6M.jpeg,0.9581048,0.041895203
11 V6M.jpeg,0.92143166,0.07856838
12 V6M.jpeg,0.053364474,0.94663554
13 V6M.jpeg,0.035363924,0.964636
14 V6M.jpeg,0.94447047,0.055529572
15 V6M.jpeg,0.66075176,0.3392483
16 V6M.jpeg,0.047505997,0.952494
17 V6M.jpeg,1.447609e-05,0.9999856
18 V6M.jpeg,0.19637795,0.80362207
19 V6M.jpeg,0.9651769,0.034823094
2 V6M.jpeg,0.99702865,0.0029714054
20 V6M.jpeg,0.92206174,0.0779382
21 V6M.jpeg,0.56349343,0.4365066
22 V6M.jpeg,0.02411092,0.9758891
23 V6M.jpeg,0.9635379,0.036462143
24 V6M.jpeg,0.98637295,0.013627078
25 V6M.jpeg,0.5967596,0.40324038
26 V6M.jpeg,0.8768686,0.123131394
27 V6M.jpeg,0.9361514,0.06384863
28 V6M.jpeg,0.00089703157,0.99910295
29 V6M.jpeg,0.5819015,0.41809854
3 V6M.jpeg,0.19004227,0.8099577
30 V6M.jpeg,0.8610477,0.13895234
31 V6M.jpeg,0.20478871,0.7952113
32 V6M.jpeg,0.9345169,0.06548311
33 V6M.jpeg,0.52071536,0.4792846
34 V6M.jpeg,0.98774916,0.01225078
35 V6M.jpeg,0.8433656,0.15663439
36 V6M.jpeg,0.7751327,0.2248673
37 V6M.jpeg,0.95113844,0.048861638
38 V6M.jpeg,0.9063068,0.09369323
39 V6M.jpeg,0.016773785,0.98322624
4 V6M.jpeg,0.9806089,0.019391103
40 V6M.jpeg,0.89211506,0.10788492
41 V6M.jpeg,0.768157,0.23184298
42 V6M.jpeg,0.98768497,0.012315029
43 V6M.jpeg,0.6685973,0.33140272
44 V6M.jpeg,0.0044413065,0.9955586
45 V6M.jpeg,0.2444908,0.75550926
46 V6M.jpeg,0.74030644,0.2596936
47 V6M.jpeg,0.11424301,0.885757
48 V6M.jpeg,0.75979143,0.24020861
49 V6M.jpeg,0.99683505,0.003164953
5 V6M.jpeg,0.6184432,0.3815568
50 V6M.jpeg,0.8495433,0.15045674
51 V6M.jpeg,0.92884696,0.07115301
52 V6M.jpeg,0.9750879,0.024912067
53 V6M.jpeg,0.84145355,0.15854646
54 V6M.jpeg,0.9922879,0.007712204
55 V6M.jpeg,0.17389853,0.8261015
56 V6M.jpeg,0.9882394,0.011760606
57 V6M.jpeg,0.7872381,0.21276186
58 V6M.jpeg,0.9947007,0.00529931
59 V6M.jpeg,0.84251744,0.15748258
6 V6M.jpeg,0.98694825,0.013051761
60 V6M.jpeg,0.33813632,0.6618637
61 V6M.jpeg,0.88435006,0.1156499
62 V6M.jpeg,0.16941835,0.83058167
63 V6M.jpeg,0.23802046,0.7619795
64 V6M.jpeg,0.02002478,0.97997516
65 V6M.jpeg,0.883484,0.11651605
66 V6M.jpeg,0.41709042,0.5829095
67 V6M.jpeg,0.60083294,0.39916703
68 V6M.jpeg,0.98133606,0.018663894
69 V6M.jpeg,0.29463664,0.7053634
7 V6M.jpeg,0.952757,0.047243018
70 V6M.jpeg,0.9890764,0.01092362
71 V6M.jpeg,0.9893377,0.010662289
8 V6M.jpeg,0.6426681,0.35733193
9 V6M.jpeg,0.10016926,0.8998307
