participant_id,variant,image_id,ground_truth,initial_response,had_doubt,ai_confidence_score,post_suggestion_action,effective_final_response
P0001,alpha,alpha_01,real,real,yes,86,change,AI
P0001,alpha,alpha_02,AI_magnific,real,no,88,change,AI
P0001,alpha,alpha_03,real,AI,no,78,confirm,AI
P0001,alpha,alpha_04,AI_midjourney,AI,no,74,change,real
P0001,alpha,alpha_05,AI_magnific,real,no,67,change,AI
P0001,alpha,alpha_06,AI_midjourney,AI,no,38,change,real
P0001,alpha,alpha_07,real,real,no,82,change,AI
P0001,alpha,alpha_08,AI_midjourney,AI,no,78,confirm,AI
P0001,alpha,alpha_09,real,AI,no,55,confirm,AI
P0001,alpha,alpha_10,AI_magnific,AI,no,52,confirm,AI
P0001,alpha,alpha_11,real,AI,no,91,confirm,AI
P0001,alpha,alpha_12,AI_midjourney,AI,no,62,confirm,AI
P0001,alpha,alpha_13,AI_magnific,AI,no,85,confirm,AI
P0001,alpha,alpha_14,AI_midjourney,real,no,66,confirm,real
P0001,alpha,alpha_15,AI_magnific,AI,no,78,confirm,AI
P0002,alpha,alpha_01,real,real,no,86,confirm,real
P0002,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0002,alpha,alpha_03,real,AI,yes,78,confirm,AI
P0002,alpha,alpha_04,AI_midjourney,real,no,74,confirm,real
P0002,alpha,alpha_05,AI_magnific,AI,yes,67,confirm,AI
P0002,alpha,alpha_06,AI_midjourney,AI,yes,38,confirm,AI
P0002,alpha,alpha_07,real,real,no,82,confirm,real
P0002,alpha,alpha_08,AI_midjourney,real,no,78,confirm,real
P0002,alpha,alpha_09,real,real,no,55,confirm,real
P0002,alpha,alpha_10,AI_magnific,real,no,52,confirm,real
P0002,alpha,alpha_11,real,real,no,91,confirm,real
P0002,alpha,alpha_12,AI_midjourney,AI,yes,62,confirm,AI
P0002,alpha,alpha_13,AI_magnific,real,no,85,confirm,real
P0002,alpha,alpha_14,AI_midjourney,AI,yes,66,confirm,AI
P0002,alpha,alpha_15,AI_magnific,real,no,78,confirm,real
P0003,alpha,alpha_01,real,real,yes,86,confirm,real
P0003,alpha,alpha_02,AI_magnific,real,no,88,confirm,real
P0003,alpha,alpha_03,real,AI,yes,78,confirm,AI
P0003,alpha,alpha_04,AI_midjourney,AI,yes,74,confirm,AI
P0003,alpha,alpha_05,AI_magnific,AI,yes,67,confirm,AI
P0003,alpha,alpha_06,AI_midjourney,real,no,38,confirm,real
P0003,alpha,alpha_07,real,real,no,82,confirm,real
P0003,alpha,alpha_08,AI_midjourney,real,yes,78,confirm,real
